台灣
TPE: TAIPEI-CHIANG KAI SHEK, 台灣桃園
JAC: JACKSON, 美國傑克遜

JAX: JACKSONVILLE, 美國傑克遜維爾

JMS: JAMESTOWN, 美國詹姆斯敦

TRI: JOHNSON CTY - KINGPORT, 美國布里斯托爾/金斯波特

AZO: KALAMAZOO, 美國卡拉馬祖

MKC: KANSAS CITY-DOWNTOWN, 美國堪薩斯城

MCI: KANSAS CITY-INTERNATIONAL, 美國堪薩斯城

ILE: KILLEEN, 美國基林

EYW: KEY WEST, 美國基韋斯特

TYS: KNOXVILLE, 美國諾克斯維爾

LSE: LA CROSSE, 美國拉克羅斯

LAF: LAFAYETTE, 美國拉斐特

LCH: LAKE CHARLES, 美國查爾斯湖

LAN: LANSING, 美國蘭辛

LAR: LARAMIE, 美國拉勒米

LRD: LAREDO, 美國拉雷多

LAS: LAS VEGAS, 美國拉斯維加斯

LEX: LEXINGTON, 美國列克星敦

LBL: LIBERAL, 美國利伯勒爾

LNK: LINCOLN, 美國林肯

LIT: LITTLE ROCK, 美國小岩城

GGG: LONGVIEW, 美國朗維尤

LAX: LOS ANGELES, 美國洛杉磯

BUR: LOS ANGELES-BURBANK, 美國伯班克

LGB: LOS ANGELES-LONG BEACH, 美國長灘

SDF: LOUISVILLE, 美國路易維爾

LYH: LYNCHBURG, 美國林奇堡

MFE: MCALLEN, 美國麥卡倫

MSN: MADISON, 美國麥迪遜

MHT: MANCHESTER, 美國曼徹斯特

MBL: MANISTEE, 美國馬尼斯蒂

MCW: MASON CITY, 美國梅森城

MTO: MATTOON, 美國馬圖恩

MFR: MEDFORD, 美國梅德福

MLB: MELBOURNE, 美國墨爾本

MEM: MEMPHIS, 美國孟菲斯

MCE: MERCED, 美國默塞德

MIA: MIAMI, 美國邁阿密

MAF: MIDLAND, 美國米德蘭

MSP: MINNEAPOLIS, 美國明尼阿波利斯

MKE: MIWAKEE, 美國密爾瓦基

MSO: MISSOULA, 美國米蘇拉

MOB: MOBILE, 美國莫比爾

MOD: MODESTO, 美國莫德斯托

MLI: MOLINE, 美國莫林

MRY: MONTEREY, 美國蒙特利

MGM: MONTGOMERY, 美國蒙哥馬利

MTJ: MONTROSE, 美國蒙特羅斯

MLU: MONROE, 美國蒙羅

MKG: MUSKEGON, 美國馬斯基岡

MVN: MT VERNON, 美國弗農山

BNA: NASHVILLE, 美國納許維爾

ARA: NEW IBERIA-ACADIANA REGIONAL, 美國新伊比利亞

LFT: NEW IBERIA-LAFAYETTE, 美國拉斐特

MSY: NEW ORLEANS, 美國紐奧良

PHF: NEWPORTNEWS-HAMPT, 美國紐波特紐斯

JFK: NEW YORK-J.F.KENNEDY INTL., 美國紐約

LGA: NEW YORK-LA GUARDIA, 美國紐約

EWR: NEW YORK-NEWARK INTL, 美國紐約紐華克

OFK: NORFOLK, 美國諾福克

ORF: NORFOLK, 美國諾福克

LBF: NORTH PLATTE, 美國北普拉特

OAK: OAKLAND, 美國奧克蘭

OKC: OKLAHOMA CITY, 美國奧克拉荷馬城

OMA: OMAHA, 美國奧馬哈

ONT: ONTARIO, 美國安大略

MCO: ORLANDO, 美國奧蘭多

OSH: OSHKOSH, 美國奧什科什

OTM: OTTUMWA, 美國奧圖姆瓦

OXR: OXNARD/VENTURA, 美國奧克斯納德

PSP: PALM SPRINGS, 美國棕櫚泉

PFN: PANAMA CITY, 美國巴拿馬城

PSC: PASCO-RICHLD-KENN, 美國帕斯科

PNS: PENSACOLA, 美國彭薩科拉

PIA: PEORIA, 美國皮歐立亞

PHL: PHILADEPHIA, 美國費城

PHX: PHOENIX, 美國鳳凰城

PIR: PIERRE, 美國皮爾

PIT: PITTSBURGH, 美國匹茲堡

PDX: PORTLAND, 美國波特蘭

PWM: PORTLAND, 美國波特蘭

POU: POUGHKEEPSIE-DUCHESS COUNTY, 美國波基普西

SWF: POUGHKEEPSIE-NEWBURGH, 美國紐堡

PUB: PUEBLO, 美國普韋布洛

PUW: PULLMAN, 美國普爾曼

RDU: RALEIGH/DURHAM, 美國羅利/德罕

RAP: RAPID CITY, 美國拉皮德城

RDD: REDDING, 美國雷丁

RDM: REDMOND, 美國雷德蒙德

RNO: RENO, 美國里諾

RIC: RICHMOND, 美國里士滿

RIW: RIVERTON, 美國里弗頓

PVD: PROVIDENCE, 美國普羅維登斯

UIN: QUINCY, 美國昆西

ROA: ROANOKE, 美國羅阿諾克

RST: ROCHESTER, 美國羅徹斯特

ROC: ROCHESTER, 美國羅徹斯特

RFD: ROCKFORD-GREATER ROCKFORD, 美國羅克福德

ZRF: ROCKFORD-ROCKFORD PARK & RIDE, 美國羅克福德

RKS: ROCK SPRINGS, 美國羅克斯普林斯

SMF: SACRAMENTO, 美國沙加緬度

MBS: SAGINAW-BAYCITY, 美國薩吉諾

SAT: SAN ANTONIO, 美國聖安東尼奧

SLC: SALT LAKE CITY, 美國鹽湖城

SJT: SAN ANGELO, 美國聖安吉洛

SAN: SAN DIEGO, 美國聖地牙哥

SFO: SAN FRANCISCO, 美國舊金山

SJC: SAN JOSE, CA., 美國聖荷西

CSL: SAN LUIS OBISPO, 美國聖路易斯-奧比斯波

SBP: SAN LUIS OBISPO-COUNTY AIRPORT, 美國聖路易斯-奧比斯波

SNA: SANTA ANA, 美國聖安娜

SBA: SANTA BARBARA, 美國聖塔芭芭拉

SAF: SANTA FE, 美國聖塔菲

SMX: SANTA MARIA, 美國聖瑪麗亞

STS: SANTA ROSA, 美國聖羅莎

SRQ: SARASOTA, 美國薩拉索塔

SAV: SAVANNAH, 美國薩凡納

BFF: SCOTTSBLUFF, 美國斯科茨布拉夫

AVP: SCRANTN-WILKESBAR, 美國斯克蘭頓/威爾克斯-巴里

SEA: SEATTLE, 美國西雅圖

SHR: SHERIDAN, 美國謝里登

SHV: SHREVEPORT, 美國什里夫波特

FSD: SIOUX FALLS, 美國蘇瀑布

SBN: SOUTH BEND, 美國南灣

SPW: SPENCER, 美國斯賓塞

SPI: SPRINGFIELD, 美國斯普林菲爾德

SGF: SPRINGFIELD, 美國斯普林菲爾德

GEG: SPOKANE INTERNATIONAL, 美國斯波坎

STL: ST. LOUIS, 美國聖路易

SCE: STATE COLLEGE, 美國大學城

SYR: SYRACUSE(NY), 美國雪城

QBF: VAIL, 美國韋爾

VIS: VISALIA, 美國維塞利亞

TLH: TALLAHASSEE, 美國塔拉哈西

TPA: TAMPA, 美國坦帕

TEX: TELLURIDE, 美國特柳賴德

HUF: TERRE HAUTE, 美國特雷霍特

TXK: TEXARKANA, 美國特克薩卡納

TOL: TOLEDO, 美國托萊多

TVC: TRAVERSE CITY, 美國特拉弗斯城

TUS: TUCSON, 美國圖森

TUL: TULSA, 美國塔爾薩

TYR: TYLER, 美國泰勒

ACT: WACO-MUNICIPAL, 美國韋科

BWI: WASHIONTON-BALTIMORE/WASH INTL, 美國華盛頓巴爾的摩

IAD: WASHIONTON-DULLES INTL., 美國華盛頓杜勒斯

DCA: WASHIONTON-RONALD REAGAN NATL., 美國華盛頓雷根

ALO: WATERLOO, 美國滑鐵盧

ATY: WATERTOWN, 美國沃特敦

AUW: WAUSAU-MUNICIPAL, 美國沃索

CWA: WAUSAU-CENTRAL WISCONSIN, 美國沃索

HPN: WESTCHESTER COUNTY, 美國威斯特徹斯特

PBI: WEST PALM BEACH, 美國西棕櫚灘

ICT: WICHITA, 美國威奇托

SPS: WICHITA FALLS, 美國威奇托福爾斯

ISN: WILLISTON, 美國威利斯頓

WRL: WORLAND, 美國沃蘭

YKM: YAKIMA, 美國亞基馬

YKN: YANKTON, 美國揚克頓

YNG: YOUNGSTOWN, 美國揚斯敦

YUM: YUMA, 美國尤馬


加拿大
YBC: BAIE COMEAU, 加拿大貝克

YBG: BAGOTVILLE, 加拿大波哥維

YYC: CALGARY, 加拿大卡加立

YCG: CASTLEGAR, 加拿大卡司特雷加

YYG: CHARLOTTETOWN, 加拿大沙洛特城

YOD: COLD LAKE, 加拿大冷湖

YQQ: COMOX, 加拿大康英克斯

YXC: CRANBROOK, 加拿大克藍布魯克

YDF: DEER LAKE, 加拿大鹿湖

YPR: DIGBY ISLAND, 加拿大魯伯王子鎮

YEA: EDMONTON, 加拿大艾德頓

YMM: FORT MCMURRAY, 加拿大福麥木瑞

YXJ: FORT SAINT JOHN, 加拿大福聖約翰

YFC: FREDERICTON, 加拿大菲德里鎮

YQX: GANDER, 加拿大甘德

YGP: GASPE, 加拿大加斯佩

YQU: GRANDE PRAIRIE, 加拿大格蘭伯瑞爾

YYR: GOOSE BAY, 加拿大鵝灣

YHZ: HALIFAX, 加拿大哈利法克斯

YKA: KAMLOOPS, 加拿大康露市

YLW: KELOWNA, 加拿大卡洛那

